Coding_Scheme,Code_Value,Full_Name,Shortcode,Viewport,Unit,UCUM_Unit,CID_Source
LN,10071-9,S' wave duration in lead AVL,10071-9,,s,s,LOINC_db
LN,10072-7,S' wave duration in lead AVR,10072-7,,s,s,LOINC_db
LN,10073-5,S' wave duration in lead I,10073-5,,s,s,LOINC_db
LN,10074-3,S' wave duration in lead II,10074-3,,s,s,LOINC_db
LN,10075-0,S' wave duration in lead III,10075-0,,s,s,LOINC_db
LN,10076-8,S' wave duration in lead V1,10076-8,,s,s,LOINC_db
LN,10077-6,S' wave duration in lead V2,10077-6,,s,s,LOINC_db
LN,10078-4,S' wave duration in lead V3,10078-4,,s,s,LOINC_db
LN,10079-2,S' wave duration in lead V4,10079-2,,s,s,LOINC_db
LN,10080-0,S' wave duration in lead V5,10080-0,,s,s,LOINC_db
LN,10081-8,S' wave duration in lead V6,10081-8,,s,s,LOINC_db
LN,10082-6,ST initial amplitude 6 ms in lead AVF,10082-6,,mV,,LOINC_db
LN,10083-4,ST initial amplitude 6 ms in lead AVL,10083-4,,mV,,LOINC_db
LN,10084-2,ST initial amplitude 6 ms in lead AVR,10084-2,,mV,,LOINC_db
LN,100853-1,NM Pericardial space Views for effusion,100853-1,,nan,,LOINC_db
LN,10085-9,ST initial amplitude 6 ms in lead I,10085-9,,mV,,LOINC_db
LN,10086-7,ST initial amplitude 6 ms in lead II,10086-7,,mV,,LOINC_db
LN,10087-5,ST initial amplitude 6 ms in lead III,10087-5,,mV,,LOINC_db
LN,100875-4,Fetal Heart Document limited US,100875-4,,nan,,LOINC_db
LN,100876-2,Fetal Heart Document US,100876-2,,nan,,LOINC_db
LN,100877-0,US Heart Transesophageal during surgery,100877-0,,nan,,LOINC_db
LN,10088-3,ST initial amplitude 6 ms in lead V1,10088-3,,mV,,LOINC_db
LN,10089-1,ST initial amplitude 6 ms in lead V2,10089-1,,mV,,LOINC_db
LN,10090-9,ST initial amplitude 6 ms in lead V3,10090-9,,mV,,LOINC_db
LN,10091-7,ST initial amplitude 6 ms in lead V4,10091-7,,mV,,LOINC_db
LN,10092-5,ST initial amplitude 6 ms in lead V5,10092-5,,mV,,LOINC_db
LN,10093-3,ST initial amplitude 6 ms in lead V6,10093-3,,mV,,LOINC_db
LN,10094-1,ST slope in lead AVF,10094-1,,mV/s,,LOINC_db
LN,10095-8,ST slope in lead AVL,10095-8,,mV/s,,LOINC_db
LN,10096-6,ST slope in lead AVR,10096-6,,mV/s,,LOINC_db
LN,10097-4,ST slope in lead I,10097-4,,mV/s,,LOINC_db
LN,10098-2,ST slope in lead II,10098-2,,mV/s,,LOINC_db
LN,10099-0,ST slope in lead III,10099-0,,mV/s,,LOINC_db
LN,10100-6,ST slope in lead V1,10100-6,,mV/s,,LOINC_db
LN,10101-4,ST slope in lead V2,10101-4,,mV/s,,LOINC_db
LN,101014-9,Clinical Cardiac Electrophysiology History and Physical Note,101014-9,,nan,,LOINC_db
LN,10102-2,ST slope in lead V3,10102-2,,mV/s,,LOINC_db
LN,10103-0,ST slope in lead V4,10103-0,,mV/s,,LOINC_db
LN,10104-8,ST slope in lead V5,10104-8,,mV/s,,LOINC_db
LN,10105-5,ST slope in lead V6,10105-5,,mV/s,,LOINC_db
LN,10106-3,ST wave end displacement in lead AVF,10106-3,,mV,,LOINC_db
LN,10107-1,ST wave end displacement in lead AVL,10107-1,,mV,,LOINC_db
LN,10108-9,ST wave end displacement in lead AVR,10108-9,,mV,,LOINC_db
LN,10109-7,ST wave end displacement in lead I,10109-7,,mV,,LOINC_db
LN,10110-5,ST wave end displacement in lead II,10110-5,,mV,,LOINC_db
LN,10111-3,ST wave end displacement in lead III,10111-3,,mV,,LOINC_db
LN,10112-1,ST wave end displacement in lead V1,10112-1,,mV,,LOINC_db
LN,10113-9,ST wave end displacement in lead V2,10113-9,,mV,,LOINC_db
LN,10114-7,ST wave end displacement in lead V3,10114-7,,mV,,LOINC_db
LN,101150-1,Right ventricular Cardiac output by Fick method,101150-1,,L/min,,LOINC_db
LN,101151-9,Right ventricular Cardiac output by Indicator dilution,101151-9,,L/min,,LOINC_db
LN,10115-4,ST wave end displacement in lead V4,10115-4,,mV,,LOINC_db
LN,10116-2,ST wave end displacement in lead V5,10116-2,,mV,,LOINC_db
LN,10117-0,ST wave end displacement in lead V6,10117-0,,mV,,LOINC_db
LN,10118-8,ST wave mid displacement in lead AVF,10118-8,,mV,,LOINC_db
LN,10119-6,ST wave mid displacement in lead AVL,10119-6,,mV,,LOINC_db
LN,10120-4,ST wave mid displacement in lead AVR,10120-4,,mV,,LOINC_db
LN,10121-2,ST wave mid displacement in lead I,10121-2,,mV,,LOINC_db
LN,10122-0,ST wave mid displacement in lead II,10122-0,,mV,,LOINC_db
LN,10123-8,ST wave mid displacement in lead III,10123-8,,mV,,LOINC_db
LN,10124-6,ST wave mid displacement in lead V1,10124-6,,mV,,LOINC_db
LN,10125-3,ST wave mid displacement in lead V2,10125-3,,mV,,LOINC_db
LN,10126-1,ST wave mid displacement in lead V3,10126-1,,mV,,LOINC_db
